,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Lot,Half bathrooms,Type_Condo,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,Cooling_None,Cooling_Other,Cooling_Refrigeration,"Cooling_Refrigerator, Central",Cooling_Wall,City
455,2002.0,249000.0,208.0,249000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
456,1973.0,169000.0,307.0,169000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
457,2006.0,445000.0,,445000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
458,,1900.0,,1900.0,3.0,,,,0,0,0,0,1,0,0,1,0,0,0,Chicago
459,1892.0,539000.0,,539000.0,9.0,3.0,3.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
460,2007.0,130000.0,113.0,130000.0,3.0,2.0,1.0,3001.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
461,2001.0,409000.0,188.0,409000.0,4.0,3.0,3.0,4007.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
462,2007.0,412900.0,,412900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
463,1906.0,229000.0,249.0,229000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
464,1910.0,142000.0,118.0,142000.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
465,1920.0,379000.0,345.0,379000.0,4.0,3.0,2.0,4687.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
466,1888.0,299900.0,182.0,299900.0,11.0,3.0,3.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
467,1926.0,425000.0,281.0,425000.0,2.0,2.0,1.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
468,2004.0,269999.0,208.0,269999.0,2.0,2.0,,,0,1,0,0,0,0,0,0,0,0,0,Chicago
469,,1660000.0,738.0,1660000.0,3.0,4.0,3.0,,1,0,0,0,1,0,0,0,0,0,0,Chicago
470,1963.0,289900.0,,289900.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
