,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
349,Single Family,1998,Forced air,Central,4 spaces,$18/month,$228,"$362,500", 3, 3, 2, 1,8322-Alvin-High-Ln-Austin-TX-78729,https://www.zillow.com/homedetails/8322-Alvin-High-Ln-Austin-TX-78729/29613827_zpid/,"5,967 sqft"
350,Single Family,No Data,No Data,No Data,2 spaces,,$178,"$381,990", 4, 4, 3, 1,https:,https://www.zillow.com/community/malone/2084958886_zpid/,No Data
351,Single Family,1989,No Data,Central,6 spaces,,$197,"$380,000", 4, 3, 2, 1,Austin-TX-78748,https://www.zillow.com/homedetails/Austin-TX-78748/2077716037_zpid/,"8,276 sqft"
352,Condo,2014,Forced air,Central,1 space,$186/month,$374,"$353,500", 1, 1, 1,,2801-Dulce-Ln-UNIT-724-Austin-TX-78704,https://www.zillow.com/homedetails/2801-Dulce-Ln-UNIT-724-Austin-TX-78704/124836937_zpid/,
353,Single Family,1950,Forced air,Central,3 spaces,None,$472,"$385,000", 2, 1, 1,,3700-Commerce-St-Austin-TX-78721,https://www.zillow.com/homedetails/3700-Commerce-St-Austin-TX-78721/29391058_zpid/,"7,405 sqft"
354,Single Family,1999,Forced air,Central,4 spaces,$51/month,$191,"$485,000", 3, 2, 2,,12205-Waterton-Parke-Cir-Austin-TX-78726,https://www.zillow.com/homedetails/12205-Waterton-Parke-Cir-Austin-TX-78726/29368546_zpid/,"9,147 sqft"
355,Condo,2020,Electric,Central,1 space,$272/month,$362,"$394,000", 1, 1, 1,,3101-Govalle-Ave-115-Austin-TX-78702,https://www.zillow.com/homedetails/3101-Govalle-Ave-115-Austin-TX-78702/2077716520_zpid/,
356,Single Family,2020,No Data,No Data,2 spaces,,$197,"$424,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/park-at-51-east/2079152442_zpid/,No Data
357,Single Family,1956,"Other, Electric, Gas",None,1 space,,$412,"$449,500", 3, 1, 1,,608-Clifford-Dr-Austin-TX-78745,https://www.zillow.com/homedetails/608-Clifford-Dr-Austin-TX-78745/29479823_zpid/,"8,311 sqft"
358,Single Family,1935,"Heat pump, Other, Electric",Central,2 spaces,,$632,"$1,750,000", 4, 4, 4,,912-W-Gibson-St-Austin-TX-78704,https://www.zillow.com/homedetails/912-W-Gibson-St-Austin-TX-78704/29322027_zpid/,"6,098 sqft"
359,Single Family,1950,"Forced air, Electric, Gas",Central,2 spaces,,$359,"$270,000", 2, 1, 1,,1151-Eastfield-Ave-Austin-TX-78721,https://www.zillow.com/homedetails/1151-Eastfield-Ave-Austin-TX-78721/29388843_zpid/,"4,791 sqft"
360,Single Family,2007,Other,Central,3 spaces,,$201,"$869,000", 5, 6, 5, 1,13500-Coleto-Creek-Trl-Austin-TX-78732,https://www.zillow.com/homedetails/13500-Coleto-Creek-Trl-Austin-TX-78732/89025931_zpid/,"10,715 sqft"
361,Condo,1983,Forced air,Central,2 spaces,$657/month,$349,"$450,000", 2, 2, 2,,40-N-Interstate-Highway-35-Hwy-5C1-Austin-TX-78701,https://www.zillow.com/homedetails/40-N-Interstate-Highway-35-Hwy-5C1-Austin-TX-78701/2077717951_zpid/,
362,Condo,2001,"Forced air, Electric",Central,1 space,$73/mo,$558,"$360,000", 1, 1, 1,,300-Le-Grande-Ave-APT-8-Austin-TX-78704,https://www.zillow.com/homedetails/300-Le-Grande-Ave-APT-8-Austin-TX-78704/60136936_zpid/,
363,Single Family,2020,No Data,No Data,2 spaces,,$132,"$286,990", 4, 3, 3,,https:,https://www.zillow.com/community/tiermo/2078783150_zpid/,No Data
