,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Lot,Type_Condo,Type_Mobile / Manufactured,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,"Cooling_Central, Evaporative","Cooling_Central, Wall",Cooling_Evaporative,Cooling_None,Cooling_Other,Cooling_Wall,City
487,1952.0,1495000.0,527.0,1495000.0,4.0,3.0,3.0,0,14810.4,0,0,0,0,1,0,0,0,0,0,0,0,Austin
488,,284995.0,151.0,284995.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
489,2020.0,264990.0,143.0,264990.0,4.0,2.0,2.0,0,,0,0,0,0,0,1,0,0,0,1,0,0,Austin
490,2020.0,85995.0,55.0,85995.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
491,,311990.0,161.0,311990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
492,2020.0,253990.0,150.0,253990.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
493,1999.0,398999.0,346.0,398999.0,3.0,2.0,2.0,0,10410.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
494,,321990.0,171.0,321990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
495,,275990.0,218.0,275990.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
496,2020.0,598990.0,230.0,598990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
497,1972.0,400000.0,245.0,400000.0,3.0,2.0,2.0,0,10345.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
498,2020.0,442400.0,173.0,442400.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
499,2020.0,381995.0,232.0,381995.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
500,1984.0,202000.0,191.0,202000.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
501,,318990.0,218.0,318990.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
502,1972.0,446990.0,228.0,446990.0,3.0,2.0,2.0,0,25700.4,0,0,0,0,1,0,0,0,0,0,0,0,Austin
503,2020.0,449990.0,241.0,449990.0,3.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
504,2020.0,288995.0,129.0,288995.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
505,,379990.0,190.0,379990.0,4.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
506,,274590.0,217.0,274590.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
507,2020.0,269000.0,381.0,269000.0,1.0,1.0,1.0,0,,0,0,0,0,1,0,0,0,0,0,0,0,Austin
508,2015.0,420000.0,337.0,420000.0,3.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
509,1940.0,1975000.0,573.0,1975000.0,4.0,4.0,3.0,1,17859.6,0,0,0,0,1,0,0,0,0,0,0,0,Austin
510,2008.0,3975000.0,1221.0,3975000.0,3.0,3.0,3.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
511,1996.0,649900.0,349.0,649900.0,3.0,2.0,2.0,0,5227.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
