,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
254,Condo,No Data,"Forced air, Gas",Central,42 spaces,"$1,085,000", 3, 3, 2,1400-W-Monroe-St-5F-Chicago-IL-60607,https://www.zillow.com/homedetails/1400-W-Monroe-St-5F-Chicago-IL-60607/2077657530_zpid/,$468/mo,,$650, 1,,,,
255,Condo,1911,"Forced air, Gas",Central,4 spaces,"$4,300,000", 4, 4, 4,14-N-Peoria-St-6H-7H-Chicago-IL-60607,https://www.zillow.com/homedetails/14-N-Peoria-St-6H-7H-Chicago-IL-60607/2077657719_zpid/,"$1,197/mo",,$843,,,,,
256,Multi Family,1910,Gas,No Data,2 spaces,"$279,000", 6, 2, 2,5731-S-Sangamon-St-Chicago-IL-60621,https://www.zillow.com/homedetails/5731-S-Sangamon-St-Chicago-IL-60621/2077657773_zpid/,,,No Data,,,,,
257,Condo,1922,Gas,Central,1 space,"$155,000", 1, 1, 1,4950-N-Kimball-Ave-APT-2W-Chicago-IL-60625,https://www.zillow.com/homedetails/4950-N-Kimball-Ave-APT-2W-Chicago-IL-60625/80855160_zpid/,$184/mo,,,,,,,
258,Condo,2002,Forced air,Central,1 space,"$435,000", 2, 2, 2,2031-W-Crystal-St-2-Chicago-IL-60622,https://www.zillow.com/homedetails/2031-W-Crystal-St-2-Chicago-IL-60622/65548325_zpid/,$136/month,,$390,,,,,
259,Condo,2020,Forced air,Central,1 space,"$819,900", 4, 3, 2,1157-W-Erie-St-3W-Chicago-IL-60642,https://www.zillow.com/homedetails/1157-W-Erie-St-3W-Chicago-IL-60642/2080137981_zpid/,$300/month,,$356, 1,,,,
260,Condo,2012,Gas,Central,2 spaces,"$745,000", 4, 3, 3,2103-N-Campbell-Ave-APT-1S-Chicago-IL-60647,https://www.zillow.com/homedetails/2103-N-Campbell-Ave-APT-1S-Chicago-IL-60647/123561167_zpid/,$319/mo,,$257,,,,,
261,Single Family,2007,Forced air,Central,2 spaces,"$675,000", 4, 3, 2,7154-N-Moody-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/7154-N-Moody-Ave-Chicago-IL-60646/3553123_zpid/,,"4,925 sqft",$346, 1,,,,
262,Condo,1926,Gas,Central,1 space,"$270,000", 2, 1, 1,3963-W-Belmont-Ave-UNIT-422-Chicago-IL-60618,https://www.zillow.com/homedetails/3963-W-Belmont-Ave-UNIT-422-Chicago-IL-60618/113959414_zpid/,$375/month,,$281,,,,,
263,Condo,2013,Forced air,Central,1 space,"$849,900", 4, 3, 3,2751-N-Kenmore-Ave-1-Chicago-IL-60614,https://www.zillow.com/homedetails/2751-N-Kenmore-Ave-1-Chicago-IL-60614/2105595198_zpid/,$205/month,,$283,,,,,
264,Condo,1975,Electric,Central,3 spaces,"$3,485,000", 3, 3, 2,180-E-Pearson-St-5801-06-Chicago-IL-60611,https://www.zillow.com/homedetails/180-E-Pearson-St-5801-06-Chicago-IL-60611/2077658426_zpid/,"$5,099/mo",,$614, 1,,,,
265,Condo,2001,"Forced air, Gas",Central,1 space,"$255,000", 1, 1, 1,345-N-La-Salle-Dr-APT-510-Chicago-IL-60654,https://www.zillow.com/homedetails/345-N-La-Salle-Dr-APT-510-Chicago-IL-60654/63701183_zpid/,$430/mo,,$319,,,,,
