,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,City,Lot Temp,sqft
334,Condo,1972.0,Electric,None,1 space,330000.0,275.0,330000.0,2,2.0,1.0,1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610/2077660538_zpid/,,1,Chicago,,1200.0
335,Single Family,2006.0,Forced air,Central,2 spaces,489000.0,163.0,489000.0,5,4.0,3.0,3124-N-Olcott-Ave-Chicago-IL-60707,https://www.zillow.com/homedetails/3124-N-Olcott-Ave-Chicago-IL-60707/3601352_zpid/,4430.0,1,Chicago,"['4,430', 'sqft']",3000.0
336,Condo,1963.0,Forced air,Central,2 spaces,365000.0,429.0,365000.0,1,1.0,1.0,400-E-Randolph-St-APT-2528-Chicago-IL-60601,https://www.zillow.com/homedetails/400-E-Randolph-St-APT-2528-Chicago-IL-60601/3869556_zpid/,,0,Chicago,,850.8158508158508
337,Condo,1895.0,Gas,Central,1 space,290000.0,331.0,290000.0,1,1.0,1.0,625-W-Jackson-Blvd-APT-309-Chicago-IL-60661,https://www.zillow.com/homedetails/625-W-Jackson-Blvd-APT-309-Chicago-IL-60661/61960988_zpid/,,0,Chicago,,876.1329305135952
338,Multiple Occupancy,1900.0,Other,None,2 spaces,749000.0,,749000.0,6,3.0,3.0,2946-N-Rockwell-St-Chicago-IL-60618,https://www.zillow.com/homedetails/2946-N-Rockwell-St-Chicago-IL-60618/2077660605_zpid/,,0,Chicago,,
339,Multi Family,1920.0,Gas,Central,2 spaces,1150000.0,,1150000.0,6,5.0,3.0,2141-W-Crystal-St-Chicago-IL-60622,https://www.zillow.com/homedetails/2141-W-Crystal-St-Chicago-IL-60622/2099654380_zpid/,,2,Chicago,,
340,Single Family,1921.0,Forced air,Central,2 spaces,279000.0,179.0,279000.0,4,3.0,3.0,7735-S-Michigan-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7735-S-Michigan-Ave-Chicago-IL-60619/4005727_zpid/,5366.0,0,Chicago,"['5,366', 'sqft']",1558.659217877095
341,Condo,2003.0,"Forced air, Gas",Central,1 space,475000.0,245.0,475000.0,3,3.0,3.0,2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618,https://www.zillow.com/homedetails/2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618/70458835_zpid/,,0,Chicago,,1938.7755102040817
342,Condo,1918.0,Gas,Central,1 space,315000.0,297.0,315000.0,2,2.0,2.0,820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640,https://www.zillow.com/homedetails/820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640/70451050_zpid/,,0,Chicago,,1060.6060606060605
343,Condo,1911.0,"Forced air, Gas",Central,1 space,1799888.0,443.0,1799888.0,3,3.0,2.0,910-S-Michigan-Ave-APT-1905-Chicago-IL-60605,https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1905-Chicago-IL-60605/70472156_zpid/,,1,Chicago,,4062.9525959367948
344,Single Family,1956.0,Gas,Central,5 spaces,309000.0,308.0,309000.0,3,1.0,1.0,5832-S-Newcastle-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5832-S-Newcastle-Ave-Chicago-IL-60638/3944672_zpid/,4748.0,0,Chicago,"['4,748', 'sqft']",1003.2467532467532
345,Multiple Occupancy,1908.0,"Forced air, Gas",Central,2 spaces,585000.0,585.0,585000.0,7,3.0,3.0,4126-N-Drake-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/4126-N-Drake-Ave-Chicago-IL-60618/2125272056_zpid/,,0,Chicago,,1000.0
346,Condo,,Gas,Central,1 space,164900.0,150.0,164900.0,2,2.0,2.0,538-E-44th-St-APT-G-Chicago-IL-60653,https://www.zillow.com/homedetails/538-E-44th-St-APT-G-Chicago-IL-60653/113961275_zpid/,,0,Chicago,,1099.3333333333333
347,Condo,2007.0,"Forced air, Gas",Central,1 space,659000.0,388.0,659000.0,4,3.0,,2424-N-Southport-Ave-APT-D-Chicago-IL-60614,https://www.zillow.com/homedetails/2424-N-Southport-Ave-APT-D-Chicago-IL-60614/89962465_zpid/,,0,Chicago,,1698.4536082474226
348,Condo,1974.0,Electric,None,1 space,192900.0,241.0,192900.0,1,1.0,1.0,1221-N-Dearborn-St-APT-401N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-APT-401N-Chicago-IL-60610/3858133_zpid/,,0,Chicago,,800.4149377593361
349,Multi Family,1891.0,Forced air,Central,6 spaces,389000.0,146.0,389000.0,6,3.0,3.0,1702-N-Kedvale-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/1702-N-Kedvale-Ave-Chicago-IL-60639/2125883453_zpid/,,0,Chicago,,2664.3835616438355
350,Condo,1924.0,,None,,425000.0,236.0,425000.0,3,2.0,2.0,6342-N-Sheridan-Rd-1F-Chicago-IL-60660,https://www.zillow.com/homedetails/6342-N-Sheridan-Rd-1F-Chicago-IL-60660/2077661811_zpid/,,0,Chicago,,1800.8474576271187
351,Condo,2007.0,"Forced air, Gas",Central,2 spaces,329000.0,199.0,329000.0,3,2.0,2.0,5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625,https://www.zillow.com/homedetails/5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625/80811288_zpid/,,0,Chicago,,1653.2663316582914
